ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_error_m,rtk_error_m,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m,correction_available,correction_quality,correction_age_sec,correction_sequence_id
1779301356.6211,0.0000,0.0000,0.2270,39.98098412,116.34401740,51.4005,39.98100263,116.34399944,50.4147,2.5893,0.3511,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,28
1779301356.7211,0.0000,0.0000,0.2270,39.98100985,116.34403202,47.8689,39.98099737,116.34399980,50.0974,3.7710,0.3208,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,29
1779301356.8211,0.0000,0.0000,0.2270,39.98100859,116.34402658,49.1786,39.98100007,116.34399703,49.9229,2.6744,0.3960,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,29
1779301356.9211,0.0000,0.0000,0.2270,39.98100420,116.34398820,51.9600,39.98099485,116.34400178,50.3031,2.0581,0.5976,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,30
1779301357.0212,0.0000,0.0000,0.2270,39.98100558,116.34400127,52.6513,39.98099867,116.34399395,50.3747,2.5049,0.5565,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,30
1779301357.1221,0.0000,0.0000,0.2270,39.98101989,116.34397219,50.7795,39.98099872,116.34400248,50.4304,3.2917,0.3264,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,31
1779301357.2211,0.0000,0.0000,0.2270,39.98100314,116.34401879,50.5786,39.98099806,116.34400079,50.1901,1.6776,0.2292,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,31
1779301357.3211,0.0000,0.0000,0.2270,39.98100517,116.34399732,51.7267,39.98099972,116.34399690,50.5974,1.6224,0.4563,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,32
1779301357.4211,0.0000,0.0000,0.2270,39.98098892,116.34398692,50.5305,39.98100003,116.34400247,50.5592,1.6904,0.3936,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,32
1779301357.5211,0.0000,0.0000,0.2270,39.98101134,116.34401507,51.0582,39.98099954,116.34400682,49.7261,1.9842,0.7695,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,33
1779301357.6211,0.0000,0.0000,0.2270,39.98099383,116.34402821,50.3888,39.98099640,116.34400384,49.9141,2.5076,0.6046,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,33
1779301357.7211,0.0000,0.0000,0.2270,39.98098930,116.34397184,50.8865,39.98100062,116.34400154,49.8738,2.7610,0.3830,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,34
1779301357.8211,0.0000,0.0000,0.2270,39.98100073,116.34395938,49.5193,39.98100158,116.34400135,50.2616,3.5376,0.2126,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,34
1779301357.9211,0.0000,0.0000,0.2270,39.98100309,116.34401337,51.0221,39.98099960,116.34399793,50.2762,1.4319,0.1883,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,35
1779301358.0211,0.0000,0.0000,0.2270,39.98099469,116.34401443,51.0088,39.98099974,116.34399922,50.4344,1.5732,0.2197,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,35
1779301358.1212,0.0000,0.0000,0.2270,39.98098253,116.34396495,48.0037,39.98099848,116.34399316,50.4144,4.2027,0.6358,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,36
1779301358.2211,0.0000,0.0000,0.2270,39.98100267,116.34399499,51.8608,39.98099984,116.34400389,50.5654,1.7146,0.4743,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,36
1779301358.3211,0.0000,0.0000,0.2270,39.98098872,116.34400162,49.3354,39.98099801,116.34399566,50.1375,1.5466,0.4408,1.5000,0.2500,83.33,2,RTK_FLOAT,0.2500,True,0.5000,0.0000,37
